Data Type;HTS Number;Year;Month;Description;Quantity Description;General First Unit of Quantity;Suppressed
General First Unit of Quantity;4011;1989;1;NEW PNEUMATIC TIRES, OF RUBBER;number;6403067.00;0.00
General First Unit of Quantity;4011;1990;1;NEW PNEUMATIC TIRES, OF RUBBER;number;8760452.00;0.00
General First Unit of Quantity;4011;1991;1;NEW PNEUMATIC TIRES, OF RUBBER;number;7279261.00;0.00
General First Unit of Quantity;4011;1992;1;NEW PNEUMATIC TIRES, OF RUBBER;number;9759453.00;0.00
General First Unit of Quantity;4011;1993;1;NEW PNEUMATIC TIRES, OF RUBBER;number;7339865.00;0.00
General First Unit of Quantity;4011;1994;1;NEW PNEUMATIC TIRES, OF RUBBER;number;7705792.00;0.00
General First Unit of Quantity;4011;1995;1;NEW PNEUMATIC TIRES, OF RUBBER;number;10767593.00;0.00
General First Unit of Quantity;4011;1996;1;NEW PNEUMATIC TIRES, OF RUBBER;number;8890518.00;0.00
General First Unit of Quantity;4011;1997;1;NEW PNEUMATIC TIRES, OF RUBBER;number;9798198.00;0.00
General First Unit of Quantity;4011;1998;1;NEW PNEUMATIC TIRES, OF RUBBER;number;11644057.00;0.00
General First Unit of Quantity;4011;1999;1;NEW PNEUMATIC TIRES, OF RUBBER;number;10235646.00;0.00
General First Unit of Quantity;4011;2000;1;NEW PNEUMATIC TIRES, OF RUBBER;number;12108405.00;0.00
General First Unit of Quantity;4011;2001;1;NEW PNEUMATIC TIRES, OF RUBBER;number;10812178.00;0.00
General First Unit of Quantity;4011;2002;1;NEW PNEUMATIC TIRES, OF RUBBER;number;10274637.00;0.00
General First Unit of Quantity;4011;2003;1;NEW PNEUMATIC TIRES, OF RUBBER;number;12653496.00;0.00
General First Unit of Quantity;4011;2004;1;NEW PNEUMATIC TIRES, OF RUBBER;number;12704138.00;0.00
General First Unit of Quantity;4011;2005;1;NEW PNEUMATIC TIRES, OF RUBBER;number;14725797.00;0.00
General First Unit of Quantity;4011;2006;1;NEW PNEUMATIC TIRES, OF RUBBER;number;16234638.00;0.00
General First Unit of Quantity;4011;2007;1;NEW PNEUMATIC TIRES, OF RUBBER;number;16474485.00;0.00
General First Unit of Quantity;4011;2008;1;NEW PNEUMATIC TIRES, OF RUBBER;number;15790430.00;0.00
General First Unit of Quantity;4011;2009;1;NEW PNEUMATIC TIRES, OF RUBBER;number;11157525.00;0.00
General First Unit of Quantity;4011;2010;1;NEW PNEUMATIC TIRES, OF RUBBER;number;13544501.00;0.00
General First Unit of Quantity;4011;2011;1;NEW PNEUMATIC TIRES, OF RUBBER;number;16218114.00;0.00
General First Unit of Quantity;4011;2012;1;NEW PNEUMATIC TIRES, OF RUBBER;number;17127290.00;0.00
General First Unit of Quantity;4011;2013;1;NEW PNEUMATIC TIRES, OF RUBBER;number;18342136.00;0.00
General First Unit of Quantity;4011;2014;1;NEW PNEUMATIC TIRES, OF RUBBER;number;19930547.00;0.00
General First Unit of Quantity;4011;2015;1;NEW PNEUMATIC TIRES, OF RUBBER;number;17958427.00;0.00
General First Unit of Quantity;4011;2016;1;NEW PNEUMATIC TIRES, OF RUBBER;number;18627955.00;0.00
General First Unit of Quantity;4011;2017;1;NEW PNEUMATIC TIRES, OF RUBBER;number;20476648.00;0.00
General First Unit of Quantity;4011;2018;1;NEW PNEUMATIC TIRES, OF RUBBER;number;20499988.00;0.00
General First Unit of Quantity;4011;2019;1;NEW PNEUMATIC TIRES, OF RUBBER;number;21322685.00;0.00
General First Unit of Quantity;4011;2020;1;NEW PNEUMATIC TIRES, OF RUBBER;number;20019502.00;0.00
General First Unit of Quantity;4011;2021;1;NEW PNEUMATIC TIRES, OF RUBBER;number;22656059.00;0.00
General First Unit of Quantity;4011;2022;1;NEW PNEUMATIC TIRES, OF RUBBER;number;22914114.00;0.00
General First Unit of Quantity;4011;2023;1;NEW PNEUMATIC TIRES, OF RUBBER;number;18759592.00;0.00
General First Unit of Quantity;4011;2024;1;NEW PNEUMATIC TIRES, OF RUBBER;number;22920879.00;0.00
General First Unit of Quantity;4011;2025;1;NEW PNEUMATIC TIRES, OF RUBBER;number;22944712.00;0.00
General First Unit of Quantity;4011;2026;1;NEW PNEUMATIC TIRES, OF RUBBER;number;23632672.00;0.00
General First Unit of Quantity;4011;1989;2;NEW PNEUMATIC TIRES, OF RUBBER;number;6254040.00;0.00
General First Unit of Quantity;4011;1990;2;NEW PNEUMATIC TIRES, OF RUBBER;number;6857765.00;0.00
General First Unit of Quantity;4011;1991;2;NEW PNEUMATIC TIRES, OF RUBBER;number;7247946.00;0.00
General First Unit of Quantity;4011;1992;2;NEW PNEUMATIC TIRES, OF RUBBER;number;9034975.00;0.00
General First Unit of Quantity;4011;1993;2;NEW PNEUMATIC TIRES, OF RUBBER;number;7149757.00;0.00
General First Unit of Quantity;4011;1994;2;NEW PNEUMATIC TIRES, OF RUBBER;number;7678924.00;0.00
General First Unit of Quantity;4011;1995;2;NEW PNEUMATIC TIRES, OF RUBBER;number;9382857.00;0.00
General First Unit of Quantity;4011;1996;2;NEW PNEUMATIC TIRES, OF RUBBER;number;8559225.00;0.00
General First Unit of Quantity;4011;1997;2;NEW PNEUMATIC TIRES, OF RUBBER;number;11151834.00;0.00
General First Unit of Quantity;4011;1998;2;NEW PNEUMATIC TIRES, OF RUBBER;number;10128033.00;0.00
General First Unit of Quantity;4011;1999;2;NEW PNEUMATIC TIRES, OF RUBBER;number;9853980.00;0.00
General First Unit of Quantity;4011;2000;2;NEW PNEUMATIC TIRES, OF RUBBER;number;11444971.00;0.00
General First Unit of Quantity;4011;2001;2;NEW PNEUMATIC TIRES, OF RUBBER;number;8762991.00;0.00
General First Unit of Quantity;4011;2002;2;NEW PNEUMATIC TIRES, OF RUBBER;number;9933595.00;0.00
General First Unit of Quantity;4011;2003;2;NEW PNEUMATIC TIRES, OF RUBBER;number;11723841.00;0.00
General First Unit of Quantity;4011;2004;2;NEW PNEUMATIC TIRES, OF RUBBER;number;11999386.00;0.00
General First Unit of Quantity;4011;2005;2;NEW PNEUMATIC TIRES, OF RUBBER;number;14218209.00;0.00
General First Unit of Quantity;4011;2006;2;NEW PNEUMATIC TIRES, OF RUBBER;number;13854152.00;0.00
General First Unit of Quantity;4011;2007;2;NEW PNEUMATIC TIRES, OF RUBBER;number;14457453.00;0.00
General First Unit of Quantity;4011;2008;2;NEW PNEUMATIC TIRES, OF RUBBER;number;15364104.00;0.00
General First Unit of Quantity;4011;2009;2;NEW PNEUMATIC TIRES, OF RUBBER;number;10581145.00;0.00
General First Unit of Quantity;4011;2010;2;NEW PNEUMATIC TIRES, OF RUBBER;number;12469172.00;0.00
General First Unit of Quantity;4011;2011;2;NEW PNEUMATIC TIRES, OF RUBBER;number;15004722.00;0.00
General First Unit of Quantity;4011;2012;2;NEW PNEUMATIC TIRES, OF RUBBER;number;14997958.00;0.00
General First Unit of Quantity;4011;2013;2;NEW PNEUMATIC TIRES, OF RUBBER;number;16477854.00;0.00
General First Unit of Quantity;4011;2014;2;NEW PNEUMATIC TIRES, OF RUBBER;number;16646846.00;0.00
General First Unit of Quantity;4011;2015;2;NEW PNEUMATIC TIRES, OF RUBBER;number;13811560.00;0.00
General First Unit of Quantity;4011;2016;2;NEW PNEUMATIC TIRES, OF RUBBER;number;17846854.00;0.00
General First Unit of Quantity;4011;2017;2;NEW PNEUMATIC TIRES, OF RUBBER;number;17263528.00;0.00
General First Unit of Quantity;4011;2018;2;NEW PNEUMATIC TIRES, OF RUBBER;number;18559512.00;0.00
General First Unit of Quantity;4011;2019;2;NEW PNEUMATIC TIRES, OF RUBBER;number;18215757.00;0.00
General First Unit of Quantity;4011;2020;2;NEW PNEUMATIC TIRES, OF RUBBER;number;17624882.00;0.00
General First Unit of Quantity;4011;2021;2;NEW PNEUMATIC TIRES, OF RUBBER;number;18214949.00;0.00
General First Unit of Quantity;4011;2022;2;NEW PNEUMATIC TIRES, OF RUBBER;number;21157030.00;0.00
General First Unit of Quantity;4011;2023;2;NEW PNEUMATIC TIRES, OF RUBBER;number;16447603.00;0.00
General First Unit of Quantity;4011;2024;2;NEW PNEUMATIC TIRES, OF RUBBER;number;22368470.00;0.00
General First Unit of Quantity;4011;2025;2;NEW PNEUMATIC TIRES, OF RUBBER;number;21583734.00;0.00
General First Unit of Quantity;4011;2026;2;NEW PNEUMATIC TIRES, OF RUBBER;number;20232255.00;0.00
General First Unit of Quantity;4011;1989;3;NEW PNEUMATIC TIRES, OF RUBBER;number;7322882.00;0.00
General First Unit of Quantity;4011;1990;3;NEW PNEUMATIC TIRES, OF RUBBER;number;7303761.00;0.00
General First Unit of Quantity;4011;1990;3;NEW PNEUMATIC TIRES, OF RUBBER;number;1054269.00;1.00
General First Unit of Quantity;4011;1991;3;NEW PNEUMATIC TIRES, OF RUBBER;number;7465140.00;0.00
General First Unit of Quantity;4011;1992;3;NEW PNEUMATIC TIRES, OF RUBBER;number;9664022.00;0.00
General First Unit of Quantity;4011;1993;3;NEW PNEUMATIC TIRES, OF RUBBER;number;9806638.00;0.00
General First Unit of Quantity;4011;1994;3;NEW PNEUMATIC TIRES, OF RUBBER;number;9798784.00;0.00
General First Unit of Quantity;4011;1995;3;NEW PNEUMATIC TIRES, OF RUBBER;number;11868609.00;0.00
General First Unit of Quantity;4011;1996;3;NEW PNEUMATIC TIRES, OF RUBBER;number;9776333.00;0.00
General First Unit of Quantity;4011;1997;3;NEW PNEUMATIC TIRES, OF RUBBER;number;9975879.00;0.00
General First Unit of Quantity;4011;1998;3;NEW PNEUMATIC TIRES, OF RUBBER;number;12352333.00;0.00
General First Unit of Quantity;4011;1999;3;NEW PNEUMATIC TIRES, OF RUBBER;number;11858431.00;0.00
General First Unit of Quantity;4011;2000;3;NEW PNEUMATIC TIRES, OF RUBBER;number;12161965.00;0.00
General First Unit of Quantity;4011;2001;3;NEW PNEUMATIC TIRES, OF RUBBER;number;10409158.00;0.00
General First Unit of Quantity;4011;2002;3;NEW PNEUMATIC TIRES, OF RUBBER;number;11176210.00;0.00
General First Unit of Quantity;4011;2003;3;NEW PNEUMATIC TIRES, OF RUBBER;number;13720179.00;0.00
General First Unit of Quantity;4011;2004;3;NEW PNEUMATIC TIRES, OF RUBBER;number;15241352.00;0.00
General First Unit of Quantity;4011;2005;3;NEW PNEUMATIC TIRES, OF RUBBER;number;15802116.00;0.00
General First Unit of Quantity;4011;2006;3;NEW PNEUMATIC TIRES, OF RUBBER;number;17311324.00;0.00
General First Unit of Quantity;4011;2007;3;NEW PNEUMATIC TIRES, OF RUBBER;number;16267746.00;0.00
General First Unit of Quantity;4011;2008;3;NEW PNEUMATIC TIRES, OF RUBBER;number;16885807.00;0.00
General First Unit of Quantity;4011;2009;3;NEW PNEUMATIC TIRES, OF RUBBER;number;12774329.00;0.00
General First Unit of Quantity;4011;2010;3;NEW PNEUMATIC TIRES, OF RUBBER;number;15602337.00;0.00
General First Unit of Quantity;4011;2011;3;NEW PNEUMATIC TIRES, OF RUBBER;number;17187048.00;0.00
General First Unit of Quantity;4011;2012;3;NEW PNEUMATIC TIRES, OF RUBBER;number;17285913.00;0.00
General First Unit of Quantity;4011;2013;3;NEW PNEUMATIC TIRES, OF RUBBER;number;16949688.00;0.00
General First Unit of Quantity;4011;2014;3;NEW PNEUMATIC TIRES, OF RUBBER;number;20396738.00;0.00
General First Unit of Quantity;4011;2015;3;NEW PNEUMATIC TIRES, OF RUBBER;number;19520242.00;0.00
General First Unit of Quantity;4011;2016;3;NEW PNEUMATIC TIRES, OF RUBBER;number;20284822.00;0.00
General First Unit of Quantity;4011;2017;3;NEW PNEUMATIC TIRES, OF RUBBER;number;20691920.00;0.00
General First Unit of Quantity;4011;2018;3;NEW PNEUMATIC TIRES, OF RUBBER;number;19448406.00;0.00
General First Unit of Quantity;4011;2019;3;NEW PNEUMATIC TIRES, OF RUBBER;number;21393248.00;0.00
General First Unit of Quantity;4011;2020;3;NEW PNEUMATIC TIRES, OF RUBBER;number;20888280.00;0.00
General First Unit of Quantity;4011;2021;3;NEW PNEUMATIC TIRES, OF RUBBER;number;24042904.00;0.00
General First Unit of Quantity;4011;2022;3;NEW PNEUMATIC TIRES, OF RUBBER;number;25574263.00;0.00
General First Unit of Quantity;4011;2023;3;NEW PNEUMATIC TIRES, OF RUBBER;number;20591524.00;0.00
General First Unit of Quantity;4011;2024;3;NEW PNEUMATIC TIRES, OF RUBBER;number;23179975.00;0.00
General First Unit of Quantity;4011;2025;3;NEW PNEUMATIC TIRES, OF RUBBER;number;26210682.00;0.00
General First Unit of Quantity;4011;2026;3;NEW PNEUMATIC TIRES, OF RUBBER;number;24321080.00;0.00
General First Unit of Quantity;4011;1989;4;NEW PNEUMATIC TIRES, OF RUBBER;number;7165714.00;0.00
General First Unit of Quantity;4011;1990;4;NEW PNEUMATIC TIRES, OF RUBBER;number;8083808.00;0.00
General First Unit of Quantity;4011;1991;4;NEW PNEUMATIC TIRES, OF RUBBER;number;8433781.00;0.00
General First Unit of Quantity;4011;1992;4;NEW PNEUMATIC TIRES, OF RUBBER;number;8042388.00;0.00
General First Unit of Quantity;4011;1993;4;NEW PNEUMATIC TIRES, OF RUBBER;number;9049990.00;0.00
General First Unit of Quantity;4011;1994;4;NEW PNEUMATIC TIRES, OF RUBBER;number;8986142.00;0.00
General First Unit of Quantity;4011;1995;4;NEW PNEUMATIC TIRES, OF RUBBER;number;11430243.00;0.00
General First Unit of Quantity;4011;1996;4;NEW PNEUMATIC TIRES, OF RUBBER;number;11235205.00;0.00
General First Unit of Quantity;4011;1997;4;NEW PNEUMATIC TIRES, OF RUBBER;number;12353634.00;0.00
General First Unit of Quantity;4011;1998;4;NEW PNEUMATIC TIRES, OF RUBBER;number;11952823.00;0.00
General First Unit of Quantity;4011;1999;4;NEW PNEUMATIC TIRES, OF RUBBER;number;11499488.00;0.00
General First Unit of Quantity;4011;2000;4;NEW PNEUMATIC TIRES, OF RUBBER;number;11558210.00;0.00
General First Unit of Quantity;4011;2001;4;NEW PNEUMATIC TIRES, OF RUBBER;number;10653715.00;0.00
General First Unit of Quantity;4011;2002;4;NEW PNEUMATIC TIRES, OF RUBBER;number;12862067.00;0.00
General First Unit of Quantity;4011;2003;4;NEW PNEUMATIC TIRES, OF RUBBER;number;14217629.00;0.00
General First Unit of Quantity;4011;2004;4;NEW PNEUMATIC TIRES, OF RUBBER;number;14635035.00;0.00
General First Unit of Quantity;4011;2005;4;NEW PNEUMATIC TIRES, OF RUBBER;number;16549632.00;0.00
General First Unit of Quantity;4011;2006;4;NEW PNEUMATIC TIRES, OF RUBBER;number;16527651.00;0.00
General First Unit of Quantity;4011;2007;4;NEW PNEUMATIC TIRES, OF RUBBER;number;16901193.00;0.00
General First Unit of Quantity;4011;2008;4;NEW PNEUMATIC TIRES, OF RUBBER;number;17736335.00;0.00
General First Unit of Quantity;4011;2009;4;NEW PNEUMATIC TIRES, OF RUBBER;number;12816541.00;0.00
General First Unit of Quantity;4011;2010;4;NEW PNEUMATIC TIRES, OF RUBBER;number;15661352.00;0.00
General First Unit of Quantity;4011;2011;4;NEW PNEUMATIC TIRES, OF RUBBER;number;16354824.00;0.00
General First Unit of Quantity;4011;2012;4;NEW PNEUMATIC TIRES, OF RUBBER;number;17511392.00;0.00
General First Unit of Quantity;4011;2013;4;NEW PNEUMATIC TIRES, OF RUBBER;number;19589128.00;0.00
General First Unit of Quantity;4011;2014;4;NEW PNEUMATIC TIRES, OF RUBBER;number;20116616.00;0.00
General First Unit of Quantity;4011;2015;4;NEW PNEUMATIC TIRES, OF RUBBER;number;22286192.00;0.00
General First Unit of Quantity;4011;2016;4;NEW PNEUMATIC TIRES, OF RUBBER;number;19557054.00;0.00
General First Unit of Quantity;4011;2017;4;NEW PNEUMATIC TIRES, OF RUBBER;number;18745871.00;0.00
General First Unit of Quantity;4011;2018;4;NEW PNEUMATIC TIRES, OF RUBBER;number;20022076.00;0.00
General First Unit of Quantity;4011;2019;4;NEW PNEUMATIC TIRES, OF RUBBER;number;20140052.00;0.00
General First Unit of Quantity;4011;2020;4;NEW PNEUMATIC TIRES, OF RUBBER;number;17279524.00;0.00
General First Unit of Quantity;4011;2021;4;NEW PNEUMATIC TIRES, OF RUBBER;number;23741948.00;0.00
General First Unit of Quantity;4011;2022;4;NEW PNEUMATIC TIRES, OF RUBBER;number;26946183.00;0.00
General First Unit of Quantity;4011;2023;4;NEW PNEUMATIC TIRES, OF RUBBER;number;20909473.00;0.00
General First Unit of Quantity;4011;2024;4;NEW PNEUMATIC TIRES, OF RUBBER;number;23364474.00;0.00
General First Unit of Quantity;4011;2025;4;NEW PNEUMATIC TIRES, OF RUBBER;number;26618362.00;0.00
General First Unit of Quantity;4011;1989;5;NEW PNEUMATIC TIRES, OF RUBBER;number;7369070.00;0.00
General First Unit of Quantity;4011;1990;5;NEW PNEUMATIC TIRES, OF RUBBER;number;7848097.00;0.00
General First Unit of Quantity;4011;1991;5;NEW PNEUMATIC TIRES, OF RUBBER;number;9833423.00;0.00
General First Unit of Quantity;4011;1992;5;NEW PNEUMATIC TIRES, OF RUBBER;number;8307918.00;0.00
General First Unit of Quantity;4011;1993;5;NEW PNEUMATIC TIRES, OF RUBBER;number;8066669.00;0.00
General First Unit of Quantity;4011;1994;5;NEW PNEUMATIC TIRES, OF RUBBER;number;11271955.00;0.00
General First Unit of Quantity;4011;1995;5;NEW PNEUMATIC TIRES, OF RUBBER;number;10265460.00;0.00
General First Unit of Quantity;4011;1996;5;NEW PNEUMATIC TIRES, OF RUBBER;number;10220299.00;0.00
General First Unit of Quantity;4011;1997;5;NEW PNEUMATIC TIRES, OF RUBBER;number;11802444.00;0.00
General First Unit of Quantity;4011;1998;5;NEW PNEUMATIC TIRES, OF RUBBER;number;10378036.00;0.00
General First Unit of Quantity;4011;1999;5;NEW PNEUMATIC TIRES, OF RUBBER;number;12138834.00;0.00
General First Unit of Quantity;4011;2000;5;NEW PNEUMATIC TIRES, OF RUBBER;number;12728350.00;0.00
General First Unit of Quantity;4011;2001;5;NEW PNEUMATIC TIRES, OF RUBBER;number;11118682.00;0.00
General First Unit of Quantity;4011;2002;5;NEW PNEUMATIC TIRES, OF RUBBER;number;12829906.00;0.00
General First Unit of Quantity;4011;2003;5;NEW PNEUMATIC TIRES, OF RUBBER;number;13337801.00;0.00
General First Unit of Quantity;4011;2004;5;NEW PNEUMATIC TIRES, OF RUBBER;number;15008281.00;0.00
General First Unit of Quantity;4011;2005;5;NEW PNEUMATIC TIRES, OF RUBBER;number;16122374.00;0.00
General First Unit of Quantity;4011;2006;5;NEW PNEUMATIC TIRES, OF RUBBER;number;17228989.00;0.00
General First Unit of Quantity;4011;2007;5;NEW PNEUMATIC TIRES, OF RUBBER;number;16488190.00;0.00
General First Unit of Quantity;4011;2008;5;NEW PNEUMATIC TIRES, OF RUBBER;number;17401734.00;0.00
General First Unit of Quantity;4011;2009;5;NEW PNEUMATIC TIRES, OF RUBBER;number;13290208.00;0.00
General First Unit of Quantity;4011;2010;5;NEW PNEUMATIC TIRES, OF RUBBER;number;16001253.00;0.00
General First Unit of Quantity;4011;2011;5;NEW PNEUMATIC TIRES, OF RUBBER;number;17590572.00;0.00
General First Unit of Quantity;4011;2012;5;NEW PNEUMATIC TIRES, OF RUBBER;number;18366542.00;0.00
General First Unit of Quantity;4011;2013;5;NEW PNEUMATIC TIRES, OF RUBBER;number;19160541.00;0.00
General First Unit of Quantity;4011;2014;5;NEW PNEUMATIC TIRES, OF RUBBER;number;20547267.00;0.00
General First Unit of Quantity;4011;2015;5;NEW PNEUMATIC TIRES, OF RUBBER;number;22247702.00;0.00
General First Unit of Quantity;4011;2016;5;NEW PNEUMATIC TIRES, OF RUBBER;number;20442312.00;0.00
General First Unit of Quantity;4011;2017;5;NEW PNEUMATIC TIRES, OF RUBBER;number;21821852.00;0.00
General First Unit of Quantity;4011;2018;5;NEW PNEUMATIC TIRES, OF RUBBER;number;19814578.00;0.00
General First Unit of Quantity;4011;2019;5;NEW PNEUMATIC TIRES, OF RUBBER;number;21502887.00;0.00
General First Unit of Quantity;4011;2020;5;NEW PNEUMATIC TIRES, OF RUBBER;number;11678461.00;0.00
General First Unit of Quantity;4011;2021;5;NEW PNEUMATIC TIRES, OF RUBBER;number;23835659.00;0.00
General First Unit of Quantity;4011;2022;5;NEW PNEUMATIC TIRES, OF RUBBER;number;28932486.00;0.00
General First Unit of Quantity;4011;2023;5;NEW PNEUMATIC TIRES, OF RUBBER;number;20765955.00;0.00
General First Unit of Quantity;4011;2024;5;NEW PNEUMATIC TIRES, OF RUBBER;number;21991530.00;0.00
General First Unit of Quantity;4011;2025;5;NEW PNEUMATIC TIRES, OF RUBBER;number;23681753.00;0.00
General First Unit of Quantity;4011;1989;6;NEW PNEUMATIC TIRES, OF RUBBER;number;7360193.00;0.00
General First Unit of Quantity;4011;1990;6;NEW PNEUMATIC TIRES, OF RUBBER;number;7933560.00;0.00
General First Unit of Quantity;4011;1991;6;NEW PNEUMATIC TIRES, OF RUBBER;number;8420540.00;0.00
General First Unit of Quantity;4011;1992;6;NEW PNEUMATIC TIRES, OF RUBBER;number;8198761.00;0.00
General First Unit of Quantity;4011;1993;6;NEW PNEUMATIC TIRES, OF RUBBER;number;8083653.00;0.00
General First Unit of Quantity;4011;1994;6;NEW PNEUMATIC TIRES, OF RUBBER;number;12795946.00;0.00
General First Unit of Quantity;4011;1995;6;NEW PNEUMATIC TIRES, OF RUBBER;number;10371013.00;0.00
General First Unit of Quantity;4011;1996;6;NEW PNEUMATIC TIRES, OF RUBBER;number;10274998.00;0.00
General First Unit of Quantity;4011;1997;6;NEW PNEUMATIC TIRES, OF RUBBER;number;10067452.00;0.00
General First Unit of Quantity;4011;1998;6;NEW PNEUMATIC TIRES, OF RUBBER;number;10879994.00;0.00
General First Unit of Quantity;4011;1999;6;NEW PNEUMATIC TIRES, OF RUBBER;number;11766605.00;0.00
General First Unit of Quantity;4011;2000;6;NEW PNEUMATIC TIRES, OF RUBBER;number;12682810.00;0.00
General First Unit of Quantity;4011;2001;6;NEW PNEUMATIC TIRES, OF RUBBER;number;10793835.00;0.00
General First Unit of Quantity;4011;2002;6;NEW PNEUMATIC TIRES, OF RUBBER;number;12659107.00;0.00
General First Unit of Quantity;4011;2003;6;NEW PNEUMATIC TIRES, OF RUBBER;number;13858140.00;0.00
General First Unit of Quantity;4011;2004;6;NEW PNEUMATIC TIRES, OF RUBBER;number;15189454.00;0.00
General First Unit of Quantity;4011;2005;6;NEW PNEUMATIC TIRES, OF RUBBER;number;16105384.00;0.00
General First Unit of Quantity;4011;2006;6;NEW PNEUMATIC TIRES, OF RUBBER;number;16803032.00;0.00
General First Unit of Quantity;4011;2007;6;NEW PNEUMATIC TIRES, OF RUBBER;number;17022205.00;0.00
General First Unit of Quantity;4011;2008;6;NEW PNEUMATIC TIRES, OF RUBBER;number;16532495.00;0.00
General First Unit of Quantity;4011;2009;6;NEW PNEUMATIC TIRES, OF RUBBER;number;14035039.00;0.00
General First Unit of Quantity;4011;2010;6;NEW PNEUMATIC TIRES, OF RUBBER;number;17745199.00;0.00
General First Unit of Quantity;4011;2011;6;NEW PNEUMATIC TIRES, OF RUBBER;number;17860155.00;0.00
General First Unit of Quantity;4011;2012;6;NEW PNEUMATIC TIRES, OF RUBBER;number;17812047.00;0.00
General First Unit of Quantity;4011;2013;6;NEW PNEUMATIC TIRES, OF RUBBER;number;19738190.00;0.00
General First Unit of Quantity;4011;2014;6;NEW PNEUMATIC TIRES, OF RUBBER;number;21463315.00;0.00
General First Unit of Quantity;4011;2015;6;NEW PNEUMATIC TIRES, OF RUBBER;number;23784782.00;0.00
General First Unit of Quantity;4011;2016;6;NEW PNEUMATIC TIRES, OF RUBBER;number;20117551.00;0.00
General First Unit of Quantity;4011;2017;6;NEW PNEUMATIC TIRES, OF RUBBER;number;20608516.00;0.00
General First Unit of Quantity;4011;2018;6;NEW PNEUMATIC TIRES, OF RUBBER;number;19464705.00;0.00
General First Unit of Quantity;4011;2019;6;NEW PNEUMATIC TIRES, OF RUBBER;number;19386337.00;0.00
General First Unit of Quantity;4011;2020;6;NEW PNEUMATIC TIRES, OF RUBBER;number;12400934.00;0.00
General First Unit of Quantity;4011;2021;6;NEW PNEUMATIC TIRES, OF RUBBER;number;23298763.00;0.00
General First Unit of Quantity;4011;2022;6;NEW PNEUMATIC TIRES, OF RUBBER;number;26874004.00;0.00
General First Unit of Quantity;4011;2023;6;NEW PNEUMATIC TIRES, OF RUBBER;number;20683104.00;0.00
General First Unit of Quantity;4011;2024;6;NEW PNEUMATIC TIRES, OF RUBBER;number;20596064.00;0.00
General First Unit of Quantity;4011;2025;6;NEW PNEUMATIC TIRES, OF RUBBER;number;22492800.00;0.00
General First Unit of Quantity;4011;1989;7;NEW PNEUMATIC TIRES, OF RUBBER;number;6798922.00;0.00
General First Unit of Quantity;4011;1990;7;NEW PNEUMATIC TIRES, OF RUBBER;number;7786678.00;0.00
General First Unit of Quantity;4011;1991;7;NEW PNEUMATIC TIRES, OF RUBBER;number;9017560.00;0.00
General First Unit of Quantity;4011;1992;7;NEW PNEUMATIC TIRES, OF RUBBER;number;8813613.00;0.00
General First Unit of Quantity;4011;1993;7;NEW PNEUMATIC TIRES, OF RUBBER;number;8493005.00;0.00
General First Unit of Quantity;4011;1994;7;NEW PNEUMATIC TIRES, OF RUBBER;number;10853169.00;0.00
General First Unit of Quantity;4011;1995;7;NEW PNEUMATIC TIRES, OF RUBBER;number;9241408.00;0.00
General First Unit of Quantity;4011;1996;7;NEW PNEUMATIC TIRES, OF RUBBER;number;8751876.00;0.00
General First Unit of Quantity;4011;1997;7;NEW PNEUMATIC TIRES, OF RUBBER;number;11920726.00;0.00
General First Unit of Quantity;4011;1998;7;NEW PNEUMATIC TIRES, OF RUBBER;number;10012605.00;0.00
General First Unit of Quantity;4011;1999;7;NEW PNEUMATIC TIRES, OF RUBBER;number;11011469.00;0.00
General First Unit of Quantity;4011;2000;7;NEW PNEUMATIC TIRES, OF RUBBER;number;11731642.00;0.00
General First Unit of Quantity;4011;2001;7;NEW PNEUMATIC TIRES, OF RUBBER;number;10405525.00;0.00
General First Unit of Quantity;4011;2002;7;NEW PNEUMATIC TIRES, OF RUBBER;number;12317722.00;0.00
General First Unit of Quantity;4011;2003;7;NEW PNEUMATIC TIRES, OF RUBBER;number;14250782.00;0.00
General First Unit of Quantity;4011;2004;7;NEW PNEUMATIC TIRES, OF RUBBER;number;14665293.00;0.00
General First Unit of Quantity;4011;2005;7;NEW PNEUMATIC TIRES, OF RUBBER;number;15149926.00;0.00
General First Unit of Quantity;4011;2006;7;NEW PNEUMATIC TIRES, OF RUBBER;number;16029591.00;0.00
General First Unit of Quantity;4011;2007;7;NEW PNEUMATIC TIRES, OF RUBBER;number;17410619.00;0.00
General First Unit of Quantity;4011;2008;7;NEW PNEUMATIC TIRES, OF RUBBER;number;16223512.00;0.00
General First Unit of Quantity;4011;2009;7;NEW PNEUMATIC TIRES, OF RUBBER;number;14886318.00;0.00
General First Unit of Quantity;4011;2010;7;NEW PNEUMATIC TIRES, OF RUBBER;number;17610332.00;0.00
General First Unit of Quantity;4011;2011;7;NEW PNEUMATIC TIRES, OF RUBBER;number;16891577.00;0.00
General First Unit of Quantity;4011;2012;7;NEW PNEUMATIC TIRES, OF RUBBER;number;18085483.00;0.00
General First Unit of Quantity;4011;2013;7;NEW PNEUMATIC TIRES, OF RUBBER;number;20533907.00;0.00
General First Unit of Quantity;4011;2014;7;NEW PNEUMATIC TIRES, OF RUBBER;number;21739106.00;0.00
General First Unit of Quantity;4011;2015;7;NEW PNEUMATIC TIRES, OF RUBBER;number;24137146.00;0.00
